,Date,Open,High,Low,Close
1382,2019-11-27,1.10234,1.10234,1.099,1.10054
1383,2019-11-26,1.10137,1.10256,1.1006,1.10234
1384,2019-11-25,1.10218,1.10323,1.1002,1.10137
1385,2019-11-22,1.10618,1.10876,1.1013,1.1022
1386,2019-11-21,1.10759,1.1097,1.1051,1.1061
1387,2019-11-20,1.10776,1.10815,1.1051,1.1076
1388,2019-11-19,1.10712,1.10839,1.1061,1.10774
1389,2019-11-18,1.10515,1.109,1.1049,1.10714
1390,2019-11-15,1.10218,1.1057,1.1013,1.10512
1391,2019-11-14,1.10079,1.10275,1.0988,1.10217
1392,2019-11-13,1.10109,1.10203,1.0994,1.1008
1393,2019-11-12,1.10314,1.10386,1.1001,1.10109
1394,2019-11-11,1.10199,1.10431,1.1015,1.10314
1395,2019-11-08,1.1049,1.10554,1.1015,1.10189
1396,2019-11-07,1.10675,1.10916,1.1035,1.10491
1397,2019-11-06,1.1075,1.10928,1.1063,1.10673
1398,2019-11-05,1.11219,1.11402,1.1062,1.1075
1399,2019-11-04,1.11649,1.11755,1.112,1.11218
1400,2019-11-01,1.11516,1.11718,1.1127,1.1164
1401,2019-10-31,1.11529,1.11758,1.113,1.11514
1402,2019-10-30,1.11119,1.11551,1.1079,1.11528
1403,2019-10-29,1.10979,1.11185,1.1072,1.11117
1404,2019-10-28,1.10818,1.11067,1.1071,1.10978
1405,2019-10-25,1.1102,1.11231,1.1071,1.10799
1406,2019-10-24,1.11325,1.1163,1.1091,1.11034
1407,2019-10-23,1.11306,1.11405,1.1105,1.11321
1408,2019-10-22,1.11496,1.1157,1.1116,1.11306
1409,2019-10-21,1.11573,1.11795,1.1138,1.11495
1410,2019-10-18,1.11251,1.1183,1.1113,1.1182
1411,2019-10-17,1.10747,1.11398,1.1063,1.11244
1412,2019-10-16,1.10334,1.10856,1.1021,1.10747
1413,2019-10-15,1.10276,1.10461,1.0989,1.10326
1414,2019-10-14,1.10299,1.10428,1.1012,1.10276
1415,2019-10-11,1.10069,1.10628,1.1,1.1035
1416,2019-10-10,1.09843,1.10339,1.0978,1.10071
1417,2019-10-09,1.09584,1.09906,1.0953,1.09847
1418,2019-10-08,1.097,1.09961,1.0939,1.09582
1419,2019-10-07,1.09812,1.10006,1.096,1.09719
1420,2019-10-04,1.09718,1.0999,1.0956,1.0975
1421,2019-10-03,1.09595,1.09994,1.0939,1.09719
1422,2019-10-02,1.09312,1.09637,1.0903,1.09594
1423,2019-10-01,1.08984,1.09428,1.0878,1.09312
1424,2019-09-30,1.09445,1.09478,1.0884,1.08983
1425,2019-09-27,1.09201,1.09587,1.0904,1.09394
1426,2019-09-26,1.09493,1.09674,1.0908,1.09201
1427,2019-09-25,1.1019,1.10196,1.0936,1.09491
1428,2019-09-24,1.09953,1.10241,1.0982,1.10188
1429,2019-09-23,1.10177,1.10255,1.0964,1.09952
1430,2019-09-20,1.10448,1.10677,1.0995,1.1017
1431,2019-09-19,1.10312,1.10735,1.1021,1.10447
1432,2019-09-18,1.1071,1.10757,1.1012,1.10313
1433,2019-09-17,1.1005,1.10746,1.0989,1.1071
1434,2019-09-16,1.10789,1.10864,1.0992,1.10048
1435,2019-09-13,1.10581,1.11096,1.1054,1.1071
1436,2019-09-12,1.10095,1.10873,1.0926,1.10581
1437,2019-09-11,1.10489,1.10555,1.0983,1.10102
1438,2019-09-10,1.10487,1.10595,1.1029,1.1048
1439,2019-09-09,1.10249,1.10681,1.1014,1.10487
1440,2019-09-06,1.10355,1.10573,1.1018,1.10289
1441,2019-09-05,1.1034,1.10847,1.1016,1.1035
1442,2019-09-04,1.097,1.10385,1.0967,1.10337
1443,2019-09-03,1.09664,1.09789,1.0924,1.09709
1444,2019-09-02,1.0992,1.09944,1.0956,1.09662
1445,2019-08-30,1.10583,1.10605,1.0961,1.0989
1446,2019-08-29,1.10844,1.10934,1.1041,1.10577
1447,2019-08-28,1.1092,1.10981,1.1072,1.1083
1448,2019-08-27,1.10996,1.11161,1.1084,1.10911
1449,2019-08-26,1.1154,1.11541,1.1093,1.10994
1450,2019-08-23,1.10821,1.11532,1.105,1.11431
1451,2019-08-22,1.10912,1.11133,1.1062,1.1082
1452,2019-08-21,1.10991,1.11071,1.10794,1.1091
1453,2019-08-20,1.10823,1.1107,1.1064,1.1099
1454,2019-08-19,1.10952,1.11137,1.1075,1.10813
1455,2019-08-16,1.11098,1.11123,1.1065,1.109
1456,2019-08-15,1.11441,1.11585,1.109,1.11099
1457,2019-08-14,1.11746,1.11908,1.1129,1.11438
1458,2019-08-13,1.12143,1.12286,1.1168,1.11739
1459,2019-08-12,1.12021,1.12308,1.1161,1.12143
1460,2019-08-09,1.11854,1.1223,1.1182,1.1197
1461,2019-08-08,1.12049,1.12326,1.1176,1.11853
1462,2019-08-07,1.12016,1.12419,1.1178,1.1205
1463,2019-08-06,1.1225,1.12496,1.1166,1.12012
1464,2019-08-05,1.11057,1.12264,1.1104,1.12245
1465,2019-08-02,1.10782,1.11164,1.1068,1.11083
1466,2019-08-01,1.1079,1.10961,1.1025,1.10781
1467,2019-07-31,1.11579,1.11621,1.1059,1.1079
1468,2019-07-30,1.11466,1.1161,1.1131,1.11577
1469,2019-07-29,1.11316,1.1151,1.1112,1.11465
1470,2019-07-26,1.11463,1.11511,1.1111,1.11278
1471,2019-07-25,1.11417,1.11877,1.11,1.11462
1472,2019-07-24,1.1152,1.11558,1.1126,1.114
1473,2019-07-23,1.12084,1.1209,1.1144,1.11518
1474,2019-07-22,1.12177,1.12255,1.1205,1.12085
1475,2019-07-19,1.12493,1.12684,1.1202,1.12211
1476,2019-07-18,1.12272,1.1282,1.1204,1.12491
1477,2019-07-17,1.12104,1.12337,1.1198,1.12268
1478,2019-07-16,1.1261,1.12634,1.12,1.12105
1479,2019-07-15,1.12718,1.12839,1.1252,1.12609
1480,2019-07-12,1.12562,1.1275,1.1237,1.127
1481,2019-07-11,1.12593,1.1286,1.1244,1.12564
1482,2019-07-10,1.12056,1.12644,1.12,1.12594
1483,2019-07-09,1.12159,1.1219,1.1192,1.12056
1484,2019-07-08,1.12286,1.12344,1.1205,1.1216
1485,2019-07-05,1.12862,1.1287,1.1206,1.12245
1486,2019-07-04,1.12873,1.12952,1.1271,1.12862
1487,2019-07-03,1.129,1.13123,1.1267,1.12872
1488,2019-07-02,1.1286,1.13218,1.1273,1.12898
1489,2019-07-01,1.13685,1.13711,1.1279,1.12858
1490,2019-06-28,1.1368,1.13936,1.1349,1.13733
1491,2019-06-27,1.13731,1.13816,1.1346,1.13681
1492,2019-06-26,1.13658,1.13914,1.1346,1.13729
1493,2019-06-25,1.13973,1.14122,1.1343,1.13655
1494,2019-06-24,1.13746,1.14041,1.1369,1.13971
1495,2019-06-21,1.12923,1.13778,1.1281,1.13685
1496,2019-06-20,1.12359,1.13174,1.1233,1.1291
1497,2019-06-19,1.11954,1.12544,1.1185,1.12357
1498,2019-06-18,1.1221,1.1243,1.118,1.1195
1499,2019-06-17,1.12145,1.12471,1.1202,1.1221
1500,2019-06-14,1.12782,1.12893,1.1201,1.12089
1501,2019-06-13,1.12925,1.13038,1.1267,1.12779
1502,2019-06-12,1.13278,1.13435,1.1281,1.12925
1503,2019-06-11,1.13146,1.13376,1.13,1.13278
1504,2019-06-10,1.13172,1.13245,1.1289,1.13146
1505,2019-06-07,1.12775,1.13479,1.125,1.1333
1506,2019-06-06,1.12283,1.1309,1.12,1.12773
1507,2019-06-05,1.12526,1.13068,1.1218,1.12279
1508,2019-06-04,1.12453,1.12774,1.1225,1.12524
1509,2019-06-03,1.11716,1.1262,1.1159,1.1245
1510,2019-05-31,1.11327,1.11798,1.1124,1.11686
1511,2019-05-30,1.11371,1.11434,1.1115,1.11328
1512,2019-05-29,1.11654,1.11725,1.1122,1.1137
1513,2019-05-28,1.11931,1.11984,1.11576,1.11652
1514,2019-05-27,1.12098,1.12152,1.1185,1.11931
1515,2019-05-24,1.11821,1.12121,1.1175,1.1202
1516,2019-05-23,1.11564,1.11876,1.1106,1.1182
1517,2019-05-22,1.11636,1.11803,1.1147,1.11564
1518,2019-05-21,1.11683,1.1188,1.114,1.11633
1519,2019-05-20,1.11628,1.1175,1.1148,1.11679
1520,2019-05-17,1.11736,1.11843,1.1154,1.11581
1521,2019-05-16,1.12062,1.1224,1.1164,1.11737
1522,2019-05-15,1.12072,1.12247,1.1176,1.1206
1523,2019-05-14,1.12309,1.1244,1.12,1.12069
