Date,Adjusted Close,EMA,Open,High,Low,Close,Effective_Fed_Rate,MACD,MACD_Signal,MACD_Hist,RSI,SMA
2019-06-06,121.17737959452,118.5255,1.12283,1.1309,1.12,1.12773,2.37,0.1784,0.5125,-0.3341,55.4426,118.6442
2019-06-05,119.290797014383,118.2269,1.12526,1.13068,1.1218,1.12279,2.38,0.0632,0.5961,-0.5328,49.6913,118.6613
2019-06-04,116.759553050079,118.1759,1.12453,1.12774,1.1225,1.12524,2.38,0.0592,0.7293,-0.6701,29.5264,118.8964
2019-06-03,113.612088645026,118.8867,1.11716,1.1262,1.1159,1.1245,2.38,0.4073,0.8968,-0.4895,39.5063,119.3932
2019-05-31,117.252529402677,119.2141,1.11327,1.11798,1.1124,1.11686,2.4,0.5977,1.0192,-0.4214,41.367,119.816
2019-05-30,119.195993869653,119.5341,1.11371,1.11434,1.1115,1.11328,2.39,0.7954,1.1245,-0.3291,46.7367,120.0549
2019-05-29,118.447049026282,119.7082,1.11654,1.11725,1.1122,1.1137,2.39,0.9367,1.2068,-0.2701,47.3817,119.9601
2019-05-28,119.603647391994,119.8958,1.11931,1.11984,1.11576,1.11652,2.39,1.0918,1.2743,-0.1825,56.7843,119.7742
2019-05-24,119.679489907778,119.788,1.11821,1.12121,1.1175,1.1202,2.38,1.1195,1.3199,-0.2005,56.4439,119.4594
2019-05-23,119.62260802094,119.6709,1.11564,1.11876,1.1106,1.1182,2.38,1.1453,1.3701,-0.2248,53.0701,119.2267
2019-05-22,121.035174877424,119.6774,1.11636,1.11803,1.1147,1.11564,2.38,1.2301,1.4262,-0.1962,55.3528,119.0028
2019-05-21,120.305190662999,119.5969,1.11683,1.1188,1.114,1.11633,2.39,1.2799,1.4753,-0.1954,59.8187,118.8476
2019-05-20,119.660529278832,119.3279,1.11628,1.1175,1.1148,1.11679,2.39,1.2466,1.5241,-0.2775,56.2497,118.7121
2019-05-17,121.414387456346,119.1907,1.11736,1.11843,1.1154,1.11581,2.39,1.2739,1.5935,-0.3196,66.745,118.6562
2019-05-16,122.229694501028,118.646,1.12062,1.1224,1.1164,1.11737,2.39,1.1174,1.6734,-0.556,61.0438,118.5222
2019-05-15,119.470922989371,118.3089,1.12072,1.12247,1.1176,1.1206,2.4,1.052,1.8124,-0.7604,48.3148,118.5947
2019-05-14,117.817901837953,118.4215,1.12309,1.1244,1.12,1.12069,2.38,1.1935,2.0025,-0.809,42.6188,119.1441
2019-05-13,116.51437658712,118.7362,1.12352,1.12636,1.1217,1.12308,2.38,1.438,2.2048,-0.7668,43.8564,119.7052
2019-05-10,120.084902274184,119.0704,1.12187,1.12536,1.1216,1.12379,2.38,1.706,2.3965,-0.6905,48.0415,120.2521
2019-05-09,118.545231144577,119.3109,1.11974,1.1251,1.1172,1.12188,2.38,1.9463,2.5691,-0.6228,44.3365,120.7045
2019-05-08,118.554676979728,119.735,1.11927,1.12138,1.1181,1.11974,2.39,2.2844,2.7248,-0.4404,50.3272,121.2496
2019-05-07,118.564122814879,120.012,1.11983,1.12179,1.1165,1.11927,2.4,2.572,2.8349,-0.2629,56.4118,121.2826
2019-05-06,121.048377459582,120.1365,1.11939,1.12093,1.1177,1.1198,2.4,2.8036,2.9006,-0.097,56.0839,121.0597
2019-05-03,121.756815095904,120.3033,1.11745,1.1205,1.1134,1.11933,2.4,3.0652,2.9248,0.1404,61.8911,120.7036
2019-05-02,119.215885440295,120.3035,1.12032,1.12191,1.11679,1.11745,2.41,3.2612,2.8897,0.3715,65.8112,120.2153
2019-05-01,120.793339910506,120.1737,1.12111,1.12648,1.1186,1.12032,2.45,3.4043,2.7969,0.6074,85.9663,119.5786
2019-04-30,123.362607071567,119.4797,1.11841,1.12293,1.1174,1.12109,2.45,3.2922,2.645,0.6472,84.7819,118.7389
