Date,EMA
2023-11-17,360.786
2023-11-16,358.7115
2023-11-15,356.7593
2023-11-14,354.3029
2023-11-13,351.5255
2023-11-10,348.7438
2023-11-09,346.8226
2023-11-08,344.2964
2023-11-07,341.3452
2023-11-06,338.2389
2023-11-03,335.7497
2023-11-02,333.5465
2023-11-01,331.3789
2023-10-31,330.3663
2023-10-30,329.3352
2023-10-27,329.2701
2023-10-26,329.8464
2023-10-25,328.3285
2023-10-24,325.489
2023-10-23,325.0327
2023-10-20,325.756
2023-10-19,325.2669
2023-10-18,324.5746
2023-10-17,323.6538
2023-10-16,323.1654
2023-10-13,322.2478
2023-10-12,320.8341
2023-10-11,319.505
2023-10-10,317.7388
2023-10-09,315.635
2023-10-06,314.4281
2023-10-05,314.7545
2023-10-04,314.5954
2023-10-03,315.5127
2023-10-02,315.1398
2023-09-29,315.6837
2023-09-28,316.0255
2023-09-27,317.9284
2023-09-26,319.9665
2023-09-25,321.8356
2023-09-22,323.7994
2023-09-21,325.1603
2023-09-20,327.2763
2023-09-19,327.6105
2023-09-18,328.7529
2023-09-15,329.7909
2023-09-14,329.056
2023-09-13,327.6683
2023-09-12,327.6941
2023-09-11,326.736
2023-09-08,325.2519
2023-09-07,325.0089
2023-09-06,324.4482
2023-09-05,323.3038
2023-09-01,322.8673
2023-08-31,321.8263
2023-08-30,321.0175
2023-08-29,320.1455
2023-08-28,320.5714
2023-08-25,320.2615
2023-08-24,320.8034
2023-08-23,318.9654
2023-08-22,318.7029
2023-08-21,318.0129
2023-08-18,318.8328
2023-08-17,320.5906
2023-08-16,321.4098
2023-08-15,322.354
2023-08-14,323.175
2023-08-11,324.5314
2023-08-10,326.4369
2023-08-09,327.5041
2023-08-08,328.7088
2023-08-07,330.0738
2023-08-04,331.433
2023-08-03,332.3246
2023-08-02,334.7036
2023-08-01,335.9384
2023-07-31,337.1056
2023-07-28,338.153
2023-07-27,340.1455
2023-07-26,341.0879
2023-07-25,342.0293
2023-07-24,341.9367
2023-07-21,342.0998
2023-07-20,341.5757
2023-07-19,339.9661
2023-07-18,336.2055
2023-07-17,335.0994
2023-07-14,333.7808
2023-07-13,331.75
2023-07-12,331.0284
2023-07-11,330.7954
2023-07-10,331.7252
2023-07-07,332.0855
2023-07-06,331.4911
2023-07-05,331.2074
2023-07-03,331.3452
2023-06-30,330.6148
2023-06-29,330.0378
2023-06-28,329.999
2023-06-27,329.9625
2023-06-26,330.5318
2023-06-23,330.8199
2023-06-22,331.0316
2023-06-21,331.343
2023-06-20,331.2303
2023-06-16,330.4481
2023-06-15,326.859
2023-06-14,325.5065
2023-06-13,324.5418
2023-06-12,323.3354
2023-06-09,323.1511
2023-06-08,323.713
2023-06-07,324.6309
2023-06-06,324.0615
2023-06-05,322.5587
2023-06-02,320.746
2023-06-01,318.7439
2023-05-31,318.1203
2023-05-30,315.9637
2023-05-26,312.6833
2023-05-25,311.1316
2023-05-24,309.4061
2023-05-23,309.1628
2023-05-22,307.7036
2023-05-19,306.2335
2023-05-18,304.8445
2023-05-17,303.6314
2023-05-16,302.6398
2023-05-15,302.114
2023-05-12,301.632
2023-05-11,300.7247
2023-05-10,299.7142
2023-05-09,298.803
2023-05-08,297.8248
2023-05-05,296.1633
2023-05-04,295.0974
2023-05-03,293.6808
2023-05-02,291.8663
2023-05-01,289.3991
2023-04-28,286.5566
2023-04-27,283.7298
2023-04-26,282.0338
2023-04-25,279.8012
2023-04-24,280.833
2023-04-21,281.5296
2023-04-20,281.7423
2023-04-19,281.9497
2023-04-18,282.0414
2023-04-17,280.9327
2023-04-14,279.9364
2023-04-13,279.3597
2023-04-12,279.4008
2023-04-11,279.1885
2023-04-10,278.7191
2023-04-06,277.3888
2023-04-05,277.0751
2023-04-04,276.1141
2023-04-03,274.6377
2023-03-31,272.9885
2023-03-30,271.5831
2023-03-29,269.7561
2023-03-28,268.6759
2023-03-27,268.0492
2023-03-24,266.2529
2023-03-23,264.7705
2023-03-22,262.8056
2023-03-21,261.3972
2023-03-20,259.352
2023-03-17,256.393
2023-03-16,252.4964
2023-03-15,250.5898
2023-03-14,249.4026
2023-03-13,248.6582
2023-03-10,249.7937
2023-03-09,250.3766
2023-03-08,250.0521
2023-03-07,250.0448
2023-03-06,249.5415
2023-03-03,248.899
2023-03-02,249.0403
2023-03-01,250.4467
2023-02-28,251.2446
2023-02-27,252.5896
2023-02-24,253.4919
2023-02-23,255.1416
2023-02-22,255.9328
2023-02-21,257.2215
2023-02-17,258.7112
2023-02-16,259.4578
2023-02-15,259.3574
2023-02-14,258.294
2023-02-13,256.193
2023-02-10,254.7227
2023-02-09,254.2589
2023-02-08,251.0146
2023-02-07,247.1803
2023-02-06,245.2586
2023-02-03,243.5842
2023-02-02,241.0789
2023-02-01,238.1746
2023-01-31,236.9858
2023-01-30,236.5258
2023-01-27,235.7322
2023-01-26,233.7846
2023-01-25,232.5696
2023-01-24,233.0855
2023-01-23,231.966
2023-01-20,230.9032
2023-01-19,230.967
2023-01-18,231.2796
2023-01-17,229.9628
2023-01-13,229.1378
2023-01-12,228.3408
2023-01-11,227.7468
2023-01-10,227.8871
2023-01-09,228.8299
2023-01-06,230.267
2023-01-05,232.7763
2023-01-04,234.9268
2023-01-03,236.4477
2022-12-30,235.9488
2022-12-29,236.4017
2022-12-28,237.5139
2022-12-27,238.6026
2022-12-23,239.5384
2022-12-22,241.2472
2022-12-21,242.2131
2022-12-20,243.2987
2022-12-19,245.1253
2022-12-16,246.1663
2022-12-15,246.6335
2022-12-14,246.0763
2022-12-13,244.6513
2022-12-12,241.9145
2022-12-09,241.6779
2022-12-08,241.9889
2022-12-07,242.3373
2022-12-06,242.7654
2022-12-05,241.9814
2022-12-02,240.7636
2022-12-01,239.7531
2022-11-30,237.6342
2022-11-29,237.9467
2022-11-28,238.1475
2022-11-25,237.3717
2022-11-23,236.155
2022-11-22,235.1492
2022-11-21,234.2505
2022-11-18,233.6234
2022-11-17,232.403
2022-11-16,232.1619
2022-11-15,230.7738
2022-11-14,228.6015
2022-11-11,226.746
2022-11-10,224.2596
2022-11-09,222.8656
2022-11-08,222.9158
2022-11-07,222.6877
2022-11-04,223.8689
2022-11-03,226.2789
2022-11-02,228.6716
2022-11-01,229.5572
2022-10-31,229.5211
2022-10-28,229.6598
2022-10-27,231.4656
2022-10-26,232.6283
2022-10-25,234.0211
2022-10-24,232.2221
2022-10-21,230.7851
2022-10-20,230.9914
2022-10-19,231.0194
2022-10-18,230.7773
2022-10-17,229.1323
2022-10-14,228.7363
2022-10-13,228.3133
2022-10-12,231.2103
