Date,AMZN_Adjusted Close,AMZN_EMA,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Effective_Fed_Rate,AMZN_MACD,AMZN_MACD_Signal,AMZN_MACD_Hist,AMZN_RSI,AMZN_SMA,AAPL_Adjusted Close,AAPL_EMA,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Effective_Fed_Rate,AAPL_MACD,AAPL_MACD_Signal,AAPL_MACD_Hist,AAPL_RSI,AAPL_SMA,MSFT_Adjusted Close,MSFT_EMA,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Effective_Fed_Rate,MSFT_MACD,MSFT_MACD_Signal,MSFT_MACD_Hist,MSFT_RSI,MSFT_SMA
2022-09-21,118.54,125.8231,0.99682,0.99752,0.9811,0.9836,2.33,-2.278,-1.2489,-1.0291,35.7419,126.9259,151.705735078755,153.2804,0.99682,0.99752,0.9811,0.9836,2.33,-2.2477,-1.6461,-0.6016,49.9337,152.9981,233.97908250365,245.105,0.99682,0.99752,0.9811,0.9836,2.33,-7.7111,-5.8316,-1.8795,30.0041,246.6587
2022-09-20,122.19,126.5638,1.00261,1.0051,0.9951,0.99691,2.33,-2.0577,-0.9916,-1.0661,37.2258,127.2889,154.844066054233,152.8364,1.00261,1.0051,0.9951,0.99691,2.33,-2.5788,-1.4956,-1.0831,41.0024,152.7499,237.406271408286,246.4199,1.00261,1.0051,0.9951,0.99691,2.33,-7.5581,-5.3617,-2.1964,25.2573,247.68
2022-09-19,124.66,127.2779,1.00141,1.00294,0.9962,1.00256,2.33,-1.8341,-0.725,-1.1091,33.8031,127.7459,152.455776443964,153.1579,1.00141,1.00294,0.9962,1.00256,2.33,-2.568,-1.2249,-1.3431,29.2033,153.0528,239.433208846171,248.5066,1.00141,1.00294,0.9962,1.00256,2.33,-7.0331,-4.8126,-2.2204,25.5401,249.0641
2022-09-16,123.53,128.4153,0.9995,1.0037,0.9943,1.0015,2.33,-1.4009,-0.4478,-0.9532,34.69,128.4799,148.725307548585,154.4477,0.9995,1.0037,0.9943,1.0015,2.33,-2.1058,-0.8891,-1.2167,31.868,154.0832,239.648632148748,250.9701,0.9995,1.0037,0.9943,1.0015,2.33,-6.3005,-4.2575,-2.043,26.7496,250.9471
2022-09-15,126.28,129.6675,0.99806,1.00179,0.9954,0.9996,2.33,-0.8908,-0.2095,-0.6813,42.0587,128.8019,150.373424758977,155.6076,0.99806,1.00179,0.9954,0.9996,2.33,-1.6762,-0.5849,-1.0913,37.4337,154.6191,240.275318119881,253.5905,0.99806,1.00179,0.9954,0.9996,2.33,-5.4528,-3.7468,-1.706,30.7763,252.3777
2022-09-14,128.55,130.1759,0.99638,1.00236,0.9954,0.99783,2.33,-0.695,-0.0392,-0.6559,42.0201,129.0089,153.274900566494,156.2707,0.99638,1.00236,0.9954,0.99783,2.33,-1.4492,-0.3121,-1.1371,37.666,155.1771,246.97302443637,255.5941,0.99638,1.00236,0.9954,0.99783,2.33,-4.8408,-3.3203,-1.5205,33.9115,253.9072
2022-09-13,126.82,130.8007,1.01188,1.01872,0.99616,0.99642,2.33,-0.4334,0.1248,-0.5582,48.6605,129.3975,151.824162662736,157.0515,1.01188,1.01872,0.99616,0.99642,2.33,-1.1519,-0.0278,-1.1241,47.7785,155.902,246.747809165494,257.2249,1.01188,1.01872,0.99616,0.99642,2.33,-4.3642,-2.9402,-1.424,38.9553,255.1939
2022-09-12,136.45,130.7542,1.00913,1.01979,1.0058,1.01188,2.33,-0.4645,0.2644,-0.7289,55.3175,129.2865,161.288500415827,156.8841,1.00913,1.01979,1.0058,1.01188,2.33,-1.2697,0.2532,-1.5229,47.0024,156.0249,261.102834691769,258.0626,1.00913,1.01979,1.0058,1.01188,2.33,-4.2218,-2.5841,-1.6376,47.2158,255.8803
2022-09-09,133.27,130.0119,0.9996,1.01134,0.99955,1.0039,2.33,-0.8115,0.4466,-1.2581,48.8105,129.532,155.307907424823,156.7476,0.9996,1.01134,0.99955,1.0039,2.33,-1.3704,0.634,-2.0044,35.5442,157.1085,258.958393634297,257.5763,0.9996,1.01134,0.99955,1.0039,2.33,-4.6705,-2.1747,-2.4958,38.2499,257.1826
2022-09-08,129.82,129.8123,1.00079,1.003,0.9929,0.99969,2.33,-0.9183,0.7611,-1.6794,41.0754,129.967,152.4360385133,157.4842,1.00079,1.003,0.9929,0.99969,2.33,-1.065,1.1351,-2.2001,32.9145,158.4221,253.141964464715,258.1308,1.00079,1.003,0.9929,0.99969,2.33,-4.6489,-1.5508,-3.0981,32.3975,258.8306
